folio,trim,unidad,region,ciudad,punto,turno,sexo,edad,nacio,origen,viveloc,paisvive,razon,trabaja,regresa,p1,p1_1,p1_2,p1_2_1,p1_2_2,p1_3,p2,p2_1,p2_1_1a,p2_1_1n,p2_1_2a,p2_1_2n,p3,p4,p4_1,p4_2,p5,p5_1,p6,p7,p7_1,p8,p8_1,p8_2,p9p,p9e,p9m,p9u,p9_1,p9_2p,p9_2e,p9_2m,p9_2u,p9_2u_b,p10,p10_1_0_1,p10_1_0_2,p10_1_0_3,p10_1_0_4,p10_1_0_5,p10_1_0_6,p10_1_0_7,p10_1_0_8,p10_1_1c,p10_1_1u,p10_2_1,p10_2_2,p10_2_3,p10_2_4,p10_2_5,p11,p11_1,p11_2,p11_3,p11_3_1c,p11_3_1t,p11_4,p12_1,p12_2,p12_3,p12_4,p12_4_1,p12_5,p12_6,p12_7c,p12_7u,p12_7t,p12_7_1,p12_8,p12_9,p12_10,p12_11,p12_12,p12_13_1,p12_13_2,p12_13_3,p12_13_4,p12_13_5,p12_13_6,p12_13_7,p12_14,p12_14_1_1,p12_14_1_2,p12_14_1_3,p12_14_1_4,p12_14_1_5,p12_14_1_6,p12_14_1_7,p12_14_1_8,p12_14_1_9,p13,p13_1,p14,p15,p15_1,p16c,p16t,p16_1_1,p16_1_2,p16_1_3,p16_1_4,p16_1_5,p16_1_6,p16_2,p16_3,p16_4,p16_4_1,p17,p17_1,p17_2,p17_3,p18,p18_1,p18_2c,p18_2u,p19,p20,p20_1,p21,p21_1es,p21_1cn,p21_1cd,p21_2_1,p21_2_2,p21_2_3,p21_2_4,p21_2_5,p21_3,p22c,p22t,p23,p23_1,p23_2,p23_3c,p23_3t,p24,p24_1,p24_2,p24_3c,p24_3t,p25_1,p25_2,p25_3,p25_4,p26,p26_1,p26_2,p27m,p27a,p28,p29,p30,p31,p32c,p32t,p33,p34,p35_1,p35_2,p36,p37,p38_1,p38_2,p38_3,p38_4,p39_1,p39_2,p39_3,p39_4,p40_1,p40_2,p40_3,lug_des,filtro,ponfin3,t2mp1,t2mp1_1_1,t2mp1_1_2,t2mp1_1_3,t2mp1_1_4,t2mp1_1_5,t2mp1_2_1,t2mp1_2_2,t2mp1_2_3,t2mp1_2_4,t2mp1_2_5,t2mp1_3,t2mp2
37631,3,121709,5,1,2,2,2,23,1,-2,2,1,7,-7,-7,2,4,0,-10,-10,0,1,1,3,3,-15,-15,-15,2,2,2,2,-18,6,2,2,4,2,2,1,26,26002,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,1,-25,1,-27,-27,-27,-27,421,1,1,1,2,8,6,2800,1,4,1,1,3,464,1,3,2,2,2,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,3,2,97,2,2016,6,1,2,1,2,2,2,2,2,0,-40,-40,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,1,2,2,2,2,2,2,2,2,2,2,1,18.758442, , , , , , , , , , , , , 
37641,3,121709,5,1,2,2,2,22,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,3,3,-15,-15,-15,2,2,2,2,-18,6,2,2,6,4,2,1,26,26035,1,1,-22,-22,-22,-22,1,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,2,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,3,2,97,2,2017,997,97,2,1,2,1,2,1,1,4,1,4,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,1,2,2,2,2,2,2,2,2,2,2,1,18.758442, , , , , , , , , , , , , 
37642,3,121709,5,1,2,2,2,23,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,1,3,-15,-15,-15,2,2,2,2,-18,6,2,2,4,1,2,1,26,26035,1,1,-22,-22,-22,-22,1,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,2,2,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,1,-38,-38,997,97,2,1,2,1,2,1,1,4,1,3,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,1,-53,2,2,2017,260430001,2,2,2,5,1,-54,-54,-54,-54,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,18.758442, , , , , , , , , , , , , 
37776,3,131709,4,1,3,2,1,38,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,3,2,-15,-15,-15,2,2,2,2,-18,5,1,-19,4,2,1,1,9,9016,2,1,-22,-22,-22,-22,2,1,1,2,2,2,2,2,2,2,450,1,2,2,2,2,2,1,-25,1,-27,-27,-27,-27,712,1,2,2,-33,10,6,1400,1,3,1,2,2,236,7,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,997,97,2,1,2,2,2,1,1,4,1,2,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,105.9617091, , , , , , , , , , , , , 
37789,3,131709,4,1,3,2,1,56,1,-2,2,1,3,2,2,1,-9,-9,-9,-9,-9,1,1,5,1,-14,-14,1,2,2,2,2,-18,5,1,-19,2,1,1,1,8,8005,97,2,1,10,10005,2,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,1,-27,-27,-27,-27,611,2,2,2,-33,8,6,1500,1,3,1,2,4,111,6,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,1,4,2,1,2,1,2,2,1,4,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,72.53331331, , , , , , , , , , , , , 
37828,3,131709,4,1,3,2,1,64,1,-2,2,1,3,2,2,2,1,0,-10,-10,1,1,1,5,7,-15,-15,-15,2,2,2,2,-18,5,1,-19,2,1,1,1,3,3002,97,1,-22,-22,-22,-22,97,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,2,5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,997,97,2,2,2,2,2,2,1,4,1,4,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,1,2,2,2,2,2,2,2,2,2,2,1,87.03997548, , , , , , , , , , , , , 
37876,3,131709,5,1,3,3,1,38,1,-2,2,1,8,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,2,-18,5,1,-19,3,1,1,1,26,26018,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,1,-25,2,2,1,3,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,1,-38,-38,997,97,2,1,1,1,2,1,1,4,1,2,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,2,2,2,2,2,2,2,2,2,2,2,1,60.055556, , , , , , , , , , , , , 
37894,3,131709,5,1,3,3,2,56,1,-2,2,1,3,2,2,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,2,-18,2,1,-19,1,-20,-20,1,26,26048,1,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,2,4,-29,-29,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,4,2,1,-38,-38,998,98,2,1,2,1,2,1,1,4,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,60.055556, , , , , , , , , , , , , 
37905,3,131709,5,1,3,3,1,26,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,2,-18,6,2,2,6,2,2,1,26,26017,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,1,-27,-27,-27,-27,713,1,2,2,-33,12,6,800,1,3,1,1,2,238,1,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,998,98,2,1,2,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,2,2,2,2,2,2,2,2,2,2,2,1,60.055556, , , , , , , , , , , , , 
38084,3,141709,7,1,1,2,1,25,1,-2,2,1,7,-7,-7,2,3,0,-10,-10,0,1,1,3,3,-15,-15,-15,2,2,2,1,2,6,1,-19,2,1,1,1,9,9007,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,1,2,1,1,2,4,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,997,97,2,1,1,1,2,1,2,3,1,98,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,98,98,98,998,98,98,98,98,998,98,98,98,98,98,98,9998,98,98,9998,999999998,98,98,98,998,98,98,98,998,998,98,98,98,98,98,98,98,98,98,98,98,98,98,2,1,90.13810855, , , , , , , , , , , , , 
38295,3,141709,7,1,1,2,1,28,1,-2,2,1,7,-7,-7,2,2,0,-10,-10,2,1,1,6,1,-14,-14,1,2,1,2,2,-18,5,1,-19,4,4,1,1,20,20498,1,1,-22,-22,-22,-22,1,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,2,2,1,-25,1,-27,-27,-27,-27,524,1,2,1,2,8,6,800,1,3,3,1,3,561,1,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,666,6,2,1,2,2,2,2,1,4,1,97,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,90.13810855, , , , , , , , , , , , , 
38352,3,141709,7,1,1,2,1,34,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,6,1,-14,-14,1,2,2,2,2,-18,6,1,-19,1,-20,-20,1,12,12029,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,97,1,-25,2,2,2,3,1,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,1,-38,-38,666,6,2,1,1,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,1,2,2,2,2,2,2,2,97,97,97,2,1,90.13810855, , , , , , , , , , , , , 
38515,3,151709,1,2,2,2,1,55,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,4,7,-15,-15,-15,2,2,2,1,2,4,1,-19,1,-20,-20,1,10,10005,97,1,-22,-22,-22,-22,97,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,2,2,1,-25,2,5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,4,3,2,1,1,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,2,1,2,1,1,1,2,2,2,2,2,1,6.70357805, , , , , , , , , , , , , 
38524,3,151709,1,2,2,2,2,20,1,-2,2,1,7,-7,-7,2,2,0,-10,-10,2,1,1,2,7,-15,-15,-15,2,2,2,2,-18,6,2,2,6,4,2,1,4,4002,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,2,4,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,5,2,1,-38,-38,6,4,2,1,2,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,1,2,2,2,2,2,2,2,2,2,2,2,1,14.86445513, , , , , , , , , , , , , 
38536,3,151709,1,2,2,2,1,21,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,2,-18,6,2,2,5,3,2,1,2,2002,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,2,2,22,1,2,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,1,1,1,1,1,1,1,-36,1,-37,1,2,1,-38,-38,666,6,2,1,1,1,2,1,2,5,1,4,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,11.64305601, , , , , , , , , , , , , 
38583,3,151709,1,2,1,3,1,22,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,3,-15,-15,-15,2,2,2,1,3,6,1,-19,1,-20,-20,1,23,23005,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,2,5,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,3,2,4,2,2017,3,4,2,1,1,2,2,2,1,5,1,6,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,2,2,2,2,2,2,2,2,2,2,2,1,156.4168105, , , , , , , , , , , , , 
38584,3,151709,1,2,1,3,1,55,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,1,1,1,3,2,-15,-15,-15,2,2,2,1,3,1,1,-19,2,2,1,1,7,7006,97,1,-22,-22,-22,-22,97,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,1,-25,2,5,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,1,5,2,1,1,1,2,1,1,4,1,6,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,3,2,2,1,2,1,2,2,2,2,2,2,2,1,195.5210139, , , , , , , , , , , , , 
38901,3,171709,1,2,1,2,1,48,1,-2,2,1,7,-7,-7,2,2,0,-10,-10,2,1,1,3,2,-15,-15,-15,2,2,2,2,-18,1,1,-19,5,3,1,1,25,25006,2,1,-22,-22,-22,-22,2,1,2,1,1,2,2,2,2,2,3000,1,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,611,5,-32,2,-33,10,6,15000,1,5,2,2,2,111,6,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,3,2,2,2,2015,6,3,2,1,1,2,2,2,1,5,1,1,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,1,2,2,2,1,2,1,2,2,2,2,2,1,4.69250433, , , , , , , , , , , , , 
38911,3,171709,1,2,1,2,2,26,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,2,7,-15,-15,-15,2,2,2,2,-18,6,2,2,4,2,2,1,14,14008,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,2,4,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,3,-35,-35,-35,-35,-35,-35,-35,-35,-35,5,2,1,-38,-38,1,5,2,1,1,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,1,2,2,2,2,2,2,2,2,2,2,2,1,24.18444506, , , , , , , , , , , , , 
38963,3,161709,2,1,4,2,1,32,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,3,5,-15,-15,-15,2,2,2,2,-18,5,1,-19,6,2,1,1,32,32056,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,812,1,1,1,2,8,6,1200,1,3,1,2,3,811,1,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,2,1,2,1,1,2,2,2,2,0,-40,-40,1,1,280270001,5,2,-43,-43,-43,2,-44,7,2,-46,-46,-46,-46,-46,-46,-46,-46,2,666,6,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,2,1,2,2,2,2,2,2,2,2,2,3,1,44.19130509, , , , , , , , , , , , , 
38981,3,171709,7,1,1,2,1,38,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,1,1,3,2,-15,-15,-15,2,2,2,1,1,5,1,-19,3,0,1,1,12,12055,2,2,1,17,17007,2,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,1,-27,-27,-27,-27,611,1,2,2,-33,8,7,1100,1,3,1,2,3,111,6,5,2,2,-34,2,2,2,2,1,2,2,2,2,2,2,-36,1,-37,2,2,1,-38,-38,666,6,2,1,1,1,2,1,1,4,1,6,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,1,-53,2,1,2017,280220001,1,2,2,19,5,17,1,612,112,3,2,2,1,2,2,2,2,2,2,2,2,2,2,1,53.47109322, , , , , , , , , , , , , 
39054,3,171709,7,1,1,2,1,32,1,-2,2,1,7,-7,-7,1,-9,-9,-9,-9,-9,2,-12,-12,-12,-12,-12,1,1,1,2,1,3,1,1,-19,4,1,1,1,12,12042,99,1,-22,-22,-22,-22,99,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,2,2,2,2,2,1,-25,2,1,-28,-28,-28,611,5,-32,2,-33,8,5,9999997,97,97,97,2,1,111,5,4,2,2,-34,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,1,2,2,2,2017,1,5,2,1,2,2,2,2,1,4,1,2,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,1,-53,2,3,2010,260700001,1,2,2,4,5,53,1,611,111,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,83.76096904, , , , , , , , , , , , , 
39207,3,171709,7,1,1,2,1,30,1,-2,2,1,5,2,2,2,3,0,-10,-10,1,1,1,3,2,-15,-15,-15,2,2,1,2,-18,1,1,-19,3,2,2,1,9,99999,99,1,-22,-22,-22,-22,99,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,922,2,2,2,-33,8,6,3000,1,3,1,1,1,236,4,4,1,1,-34,2,1,1,1,1,2,1,2,2,2,2,-36,2,2,2,2,1,-38,-38,1,5,2,1,2,2,2,2,2,3,2,-41,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,2,1,2,2,2,2,2,2,2,2,1,2,1,206.3187831, , , , , , , , , , , , , 
39248,3,161709,7,1,1,2,2,50,1,-2,2,1,3,2,2,1,-9,-9,-9,-9,-9,1,1,6,1,-14,-14,1,2,2,2,2,-18,6,1,-19,4,1,1,1,12,12038,1,2,1,16,16058,97,97,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,97,97,97,97,97,1,-25,1,-27,-27,-27,-27,962,1,2,2,-33,8,6,1400,1,4,3,2,1,561,1,4,2,2,2,2,2,2,2,1,97,97,97,97,97,97,-36,2,-37,1,2,1,-38,-38,666,6,2,1,2,1,2,2,1,4,1,97,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,2,2,1,2,2,2,2,1,2,2,2,2,2,1,95.51814658, , , , , , , , , , , , , 
39654,3,171709,7,1,12,2,2,25,1,-2,2,1,7,-7,-7,2,1,0,-10,-10,0,1,1,2,3,-15,-15,-15,2,2,2,2,-18,6,1,-19,4,4,2,1,18,18018,2,1,-22,-22,-22,-22,2,2,-24,-24,-24,-24,-24,-24,-24,-24,-24,-24,1,2,2,1,2,1,-25,1,-27,-27,-27,-27,312,1,1,1,2,8,5,2300,1,3,1,1,4,464,1,3,2,2,2,2,2,2,2,2,-35,-35,-35,-35,-35,-35,-35,-35,-35,2,2,1,-38,-38,997,97,2,1,2,1,2,1,1,4,1,7,2,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,-42,2,-47,-47,-47,-47,2,-50,-50,-50,-50,2,2,2,2,0,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,1,1,2,2,2,2,2,2,2,2,2,2,2,1,156.3664832, , , , , , , , , , , , , 
